name,createdAt,pullRequests,releases,url
fucking-algorithm,2020-02-19T09:01:23Z,463,1,https://github.com/labuladong/fucking-algorithm
go,2014-08-19T04:33:40Z,3719,0,https://github.com/golang/go
30-seconds-of-code,2017-11-29T17:35:03Z,1614,10,https://github.com/Chalarangelo/30-seconds-of-code
react-native,2015-01-09T18:10:16Z,18699,345,https://github.com/facebook/react-native
tech-interview-handbook,2016-07-05T05:00:48Z,538,0,https://github.com/yangshun/tech-interview-handbook
electron,2013-04-12T01:47:36Z,23158,1000,https://github.com/electron/electron
awesome-chatgpt-prompts,2022-12-05T13:54:13Z,301,0,https://github.com/f/awesome-chatgpt-prompts
free-programming-books-zh_CN,2013-11-04T01:59:19Z,434,3,https://github.com/justjavac/free-programming-books-zh_CN
PowerToys,2019-05-01T17:44:02Z,5470,105,https://github.com/microsoft/PowerToys
kubernetes,2014-06-06T22:56:04Z,80802,695,https://github.com/kubernetes/kubernetes
scrcpy,2017-11-21T18:00:27Z,423,40,https://github.com/Genymobile/scrcpy
d3,2010-09-27T17:22:42Z,1176,194,https://github.com/d3/d3
node,2014-11-26T19:57:11Z,34457,407,https://github.com/nodejs/node
axios,2014-08-18T22:30:27Z,1534,84,https://github.com/axios/axios
create-react-app,2016-07-17T14:55:11Z,3805,83,https://github.com/facebook/create-react-app
three.js,2010-03-23T18:58:01Z,16709,161,https://github.com/mrdoob/three.js
TypeScript,2014-06-17T15:28:39Z,17683,202,https://github.com/microsoft/TypeScript
nodebestpractices,2017-09-15T08:33:19Z,921,0,https://github.com/goldbergyoni/nodebestpractices
rust,2010-06-16T20:39:03Z,75740,130,https://github.com/rust-lang/rust
hello-algo,2022-11-04T11:08:34Z,1057,8,https://github.com/krahets/hello-algo
angular,2014-09-18T16:12:01Z,28261,369,https://github.com/angular/angular
terminal,2017-08-11T18:38:22Z,4405,121,https://github.com/microsoft/terminal
deno,2018-05-15T01:34:26Z,13851,293,https://github.com/denoland/deno
material-ui,2014-08-18T19:11:54Z,23235,495,https://github.com/mui/material-ui
langchain,2022-10-17T02:58:36Z,15166,642,https://github.com/langchain-ai/langchain
ollama,2023-06-26T19:39:32Z,2133,92,https://github.com/ollama/ollama
ant-design,2015-04-24T15:37:24Z,18165,672,https://github.com/ant-design/ant-design
clean-code-javascript,2016-11-25T22:25:41Z,252,0,https://github.com/ryanmcdermott/clean-code-javascript
godot,2014-01-04T16:05:36Z,41186,58,https://github.com/godotengine/godot
java-design-patterns,2014-08-09T16:45:18Z,2065,0,https://github.com/iluwatar/java-design-patterns
free-for-dev,2015-03-18T21:06:26Z,3372,0,https://github.com/ripienaar/free-for-dev
puppeteer,2017-05-09T22:16:13Z,6076,452,https://github.com/puppeteer/puppeteer
vue-element-admin,2017-04-17T03:35:49Z,476,49,https://github.com/PanJiaChen/vue-element-admin
papers-we-love,2013-12-15T14:31:41Z,516,0,https://github.com/papers-we-love/papers-we-love
frp,2015-12-21T15:24:59Z,894,99,https://github.com/fatedier/frp
iptv,2018-11-14T22:00:57Z,7109,0,https://github.com/iptv-org/iptv
thefuck,2015-04-08T15:08:04Z,609,17,https://github.com/nvbn/thefuck
yt-dlp,2020-10-26T04:22:55Z,2841,93,https://github.com/yt-dlp/yt-dlp
storybook,2016-03-18T04:23:44Z,12712,1000,https://github.com/storybookjs/storybook
Awesome-Hacking,2016-03-30T15:47:10Z,108,0,https://github.com/Hack-with-Github/Awesome-Hacking
Web-Dev-For-Beginners,2020-11-10T02:44:00Z,811,0,https://github.com/microsoft/Web-Dev-For-Beginners
tauri,2019-07-13T09:09:37Z,4928,1000,https://github.com/tauri-apps/tauri
